阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
东望西观	dong'wang'xi'guan	同“东张西望”。
东西南北	dong'xi'nan'bei	①四方。泛指到处，处处。②指普天下。③谓飘流在外，居处无定。④指分散四方。⑤指方向。
东西南北客	dong'xi'nan'bei'ke		见“东西南北人”。
东西南北人	dong'xi'nan'bei'ren		《礼记·檀弓上》：“孔子既得合葬於防，曰：‘吾闻之，古也墓而不坟。今丘也，东西南北之人也，不可以弗识也。’於是封之，崇四尺。”郑玄注：“东西南北，言居无常处也。”后因以“东西南北人”谓居处无定之人。
东西南朔	dong'xi'nan'shuo	见“东西南北”。
东西易面	dong'xi'yi'mian	谓东西方向颠倒。汉贾谊《新书·审微》：“事之適乱，如地形之惑人也，机渐而往，俄而东西易面，人不自知也。故墨子见衢路而哭之，悲一跬而缪千里也。”后以喻是非颠倒，视听淆乱。
东徙西迁	dong'xi'xi'qian	同“东迁西徙”。
东挦西撦	dong'xian'xi'che	谓到处张罗。
东向而望，不见西墙	dong'xiang'er'wang'-'bu'jian'xi'qiang	见西墙】	《吕氏春秋·去尤》：“东面望者，不见西墙；南乡视者，不睹北方：意有所在也。”后因以“东向而望，不见西墙”比喻主观片面，顾此失彼。
东踅西倒	dong'xue'xi'dao	形容行走艰难。
东掩西遮	dong'yan'xi'zhe	谓左右遮掩，隐瞒真相。
东央西告	dong'yang'xi'gao	谓到处恳求。
东央西浼	dong'yang'xi'mei	谓到处恳求请托。
东扬西荡	dong'yang'xi'dang	谓飘泊无定。
东游西荡	dong'you'xi'dang	谓到处游荡。亦以形容不务正业。
东游西逛	dong'you'xi'guang	同“东游西荡”。
东怨西怒	dong'yuan'xi'nu	谓任意指责别人。
东张西觑	dong'zhang'xi'qu	同“东张西望”。
东张西望	dong'zhang'xi'wang	向四处张望。
东张西张	dong'zhang'xi'zhang	同“东张西望”。
东征西讨	dong'zheng'xi'tao	谓四处征伐。
东征西怨	dong'zheng'xi'yuan	语本《书·仲虺之诰》：“惟王不迩声色，不殖货利，德懋懋官，功懋懋赏……东征西夷怨，南征北狄怨。”本谓商汤向一方征伐，则另一方人民埋怨他不先来解救自己。后因以“东征西怨”谓帝王兴仁义之师为民除害，深受百姓拥戴。
东支西吾	dong'zhi'xi'wu	谓说话办事含糊敷衍。
东走西顾	dong'zou'xi'gu	谓边跑边回顾。表示念旧。
东走西撞	dong'zou'xi'zhuang	同“东奔西撞”。
东撙西节	dong'zun'xi'jie	谓从各方面节省。
冬箑夏裘	dong'sha'xia'qiu	语出《淮南子·精神训》：“知冬日之箑，夏日之裘，无用於己，则万物之变为尘埃矣。”后因以“冬箑夏裘”比喻不合时宜。
冬扇夏炉	dong'shan'xia'lu	汉王充《论衡·逢遇》：“作无益之能，纳无补之说，以夏进炉，以冬奏扇，为所不欲得之事，献所不欲闻之语，其不遇祸幸矣，何福祐之有乎。”后因以“冬扇夏炉”比喻不合时宜。
冬温夏清	dong'wen'xia'qing	见“冬温夏凊”。
冬温夏凊	dong'wen'xia'qing	①亦讹作“冬温夏清”。冬温被使暖，夏扇席使凉。谓事亲无微不至。语出《礼记·曲礼上》：“凡为人子之礼，冬温而夏凊；昏定而晨省。”②冬暖夏凉。
动地惊天	dong'di'jing'tian	惊天动地。形容令人十分震动。
动魄惊心	dong'po'jing'xin	形容使人感受很深，震动很大。
动人心魄	dong'ren'xin'po	形容使人感动或震惊。
动人心弦	dong'ren'xin'xian	形容使人十分激动。
动心忍性	dong'xin'ren'xing	《孟子·告子下》：“所以动心忍性，曾益其所不能。”赵岐注：“所以惊动其心，坚忍其性，使不违仁。”后多指不顾外界阻力，坚持下去。
动辄得咎	dong'zhe'de'jiu	谓做事往往获罪或受到责怪。咎，罪过，过失。
冻解冰释	dong'jie'bing'shi	比喻困难和障碍象冰冻融解那样消释。
冻浦鱼惊	dong'pu'yu'jing	指晋王祥卧冰求鲤事。《晋书·王祥传》：“王祥字休徵，琅邪临沂人……父母有疾，衣不解带，汤药必亲尝。母常欲生鱼，时天寒冰冻，祥解衣将剖冰求之，冰忽自解，双鲤跃出，持之而归。”后因以“冻浦鱼惊”为孝亲之典。
恫疑虚喝	dong'yi'xu'he	谓虚张声势，恐吓威胁。喝，亦写作“猲”。
恫疑虚猲	dong'yi'xu'xie	见“恫疑虚喝”。
栋朽榱崩	dong'xiu'cui'beng	犹栋折榱崩。
栋折榱崩	dong'zhe'cui'beng	正梁折断，椽子崩坏。指房屋倒塌。多比喻倾覆。
栋折榱坏	dong'zhe'cui'huai	犹栋折榱崩。比喻倾覆。
洞洞灟々	dong'dong'zhu'々	混沌无定形貌。
洞如观火	dong'ru'guan'huo	见“洞若观火”。
洞若观火	dong'ruo'guan'huo	形容观察事物非常清楚，好像看火一样。
洞天福地	dong'tian'fu'di	道教对神仙及道士所居的十大洞天、三十六小洞天、七十二福地的合称。后泛指名山胜境。
洞心骇耳	dong'xin'hai'er	形容使人震惊。
洞心骇目	dong'xin'hai'mu	形容使人惊异。
洞隐烛微	dong'yin'zhu'wei	形容目光犀利，观察事物深刻透彻。
洞幽烛微	dong'you'zhu'wei	见“洞隐烛微”。
洞幽烛远	dong'you'zhu'yuan	形容目光犀利而深远。
都头异姓	du'tou'yi'xing	谓富贵至极。
都俞吁咈	du'yu'xu'fu	《书·益稷》：“禹曰：‘都！帝，慎乃在位。’帝曰：‘俞！’”又《尧典》：“帝曰：‘吁，咈哉！’”都、俞、吁、咈均为叹词。以为可，则曰都、俞；以为否，则曰吁、咈。后因用“都俞吁咈”形容君臣论政问答，融洽雍睦。
都中纸贵	du'zhong'zhi'gui	又作：洛阳纸贵。形容别人的著作受人欢迎，广为流传。晋左思以十年时间写成《三都赋》，开始不被人赏识，后得到名士皇甫谧的赞赏，亲自为之作序，张载、刘逵为之作注释，另一名流张华也大加赞叹称扬，“於是豪贵之家竞相传写，洛阳为之纸贵”。见《晋书·文苑传·左思》。
斗脣合舌	dou'chun'he'she	又作：耍嘴皮子，卖弄口才。
斗而铸兵	dou'er'zhu'bing	见“斗而铸锥”。
斗而铸锥	dou'er'zhu'zhui	临打仗才去制造武器。比喻事到临头才想办法。
斗方名士	dou'fang'ming'shi	指自命风雅的无聊文人。
斗怪争奇	dou'guai'zheng'qi	谓以奇怪取胜。
斗鸡养狗	dou'ji'yang'gou	同“斗鸡走狗”。
斗鸡走狗	dou'ji'zou'gou	鸡与鸡相搏斗，狗与狗相竞走。古代的赌博游戏。
斗鸡走狗	dou'ji'zou'gou	见“斗鸡走狗”。
斗鸡走马	dou'ji'zou'ma	斗鸡赛马。古代的赌博游戏。
斗鸡走犬	dou'ji'zou'quan	同“斗鸡走狗”。
斗酒百篇	dou'jiu'bai'pian	饮一斗酒，作百篇诗。形容能诗善饮，文思敏捷，气概豪迈。语出唐杜甫《饮中八仙歌》：“李白一斗诗百篇，长安市上酒家眠。”
斗酒双柑	dou'jiu'shuang'gan	唐冯贽《云仙杂记·俗耳针砭诗肠鼓吹》引《高隐外书》：“戴颙春携双柑斗酒，人问何之，曰：‘往听黄鸝声。’”后因以“斗酒双柑”指春日胜游。
斗酒只鸡	dou'jiu'zhi'ji	①一斗酒一只鸡。泛指简便的酒食。②谓以鸡和酒祭奠。常用为悼亡友之辞。
斗绝一隅	dou'jue'yi'yu	孤悬边远之地；僻处边远之地。
斗丽争妍	dou'li'zheng'yan	竞相比赛艳丽。
斗量车载	dou'liang'che'zai	用斗量，用车装。形容数量很多。
斗量筲计	dou'liang'shao'ji	用斗量，用筲计。形容数量很多。
斗美讠夸丽	dou'mei'yan'kua'li		谓比赛美丽以争胜。
斗媚争妍	dou'mei'zheng'yan	竞相比赛妩媚艳丽。
斗米尺布	dou'mi'chi'bu	少量的粮、布。
斗色争妍	dou'se'zheng'yan	形容花盛开，竞相逞美。
斗霜傲雪	dou'shuang'ao'xue	形容在严酷的环境中敢于斗争，不屈不挠。
斗水活鳞	dou'shui'huo'lin	语本《庄子·外物》：“周昨来，有中道而呼者。周顾视车辙中，有鲋鱼焉。周问之曰：‘鲋鱼来！子何为者邪？’对曰：‘我，东海之波臣也。君岂有斗升之水而活我哉？’”后因以“斗水活鳞”比喻得到微薄的资助而解救眼前的危急。
斗牙拌齿	dou'ya'ban'chi	又作：斗口齿。以戏言相挑逗。斗，通“逗”。
斗艳争芳	dou'yan'zheng'fang	竞相比赛艳丽、散发芳香。
斗艳争辉	dou'yan'zheng'hui	竞相比赛美丽、焕发容光。
斗艳争妍	dou'yan'zheng'yan	见“斗艳争妍”。
斗艳争妍	dou'yan'zheng'yan	亦作“斗艳争妍”。竞相比赛艳丽。
斗挹箕扬	dou'yi'ji'yang	比喻无实用。斗、箕皆星宿名，一象斗，一象箕，故以为名。语出《诗·小雅·大东》：“维南有箕，不可以簸扬；维北有斗，不可以挹酒浆。”孔颖达疏：“言维此天上，其南则有箕星，不可以簸扬米粟；维此天上，其北则有斗星，不可以挹Ｕ其酒浆。”
斗折蛇行	dou'zhe'she'xing	形容道路、河流等曲折蜿蜒。
斗志昂扬	dou'zhi'ang'yang	斗争意志高昂。
斗转参横	dou'zhuan'can'heng	北斗转向，参星横斜。表示天色将明。
豆分瓜剖	dou'fen'gua'pou	见“豆剖瓜分”。
豆蔻年华	dou'kou'nian'hua	指少女的青春年华。
豆剖瓜分	dou'pou'gua'fen	亦作“豆分瓜剖”。语出《晋书·地理志序》：“平王东迁，星离豆剖；当涂驭敚瓜分鼎立。”后以喻疆土分裂。
豆萁燃豆	dou'qi'ran'dou	三国魏曹植《七步诗》：“煮豆燃豆萁，豆在釜中泣。本是同根生，相煎何太急。”后以“豆萁燃豆”喻兄弟相残。
豆萁相煎	dou'qi'xiang'jian	同“豆萁燃豆”。
毒赋賸敛	du'fu'sheng'lian	横征暴敛。
毒泷恶雾	du'long'e'wu	恶劣的云雨雾气。比喻暴虐凶残的黑暗势力。
毒魔狠怪	du'mo'hen'guai	凶恶残忍的妖魔鬼怪。
毒蛇猛兽	du'she'meng'shou	①泛指对人类生命有威胁的动物。②比喻贪暴者。
读书君子	du'shu'jun'zi	旧时称有志操有学问的人。
读书种子	du'shu'zhong'zi	读书人，能读书做学问的人。
犊牧采薪	du'mu'cai'xin	喻指老而无妻的人。
黩武穷兵	du'wu'qiong'bing	滥用兵力，任意征讨。
独辟蹊径	du'bi'xi'jing	独自开辟一条新路。比喻独创一种新方法。
独出心裁	du'chu'xin'cai	原指诗文构思独到，别创一格。后亦泛指想出的办法与众不同。
独出新裁	du'chu'xin'cai	犹独出心裁。
独胆英雄	du'dan'ying'xiong	指不畏强敌，英勇奋战，以少胜多的杰出人物。
独当一面	du'dang'yi'mian	①单独担当一个部门或一个方面的重任。语出《史记·留侯世家》：“良进曰：‘……汉王之将独韩信可属大事，当一面。’”②特指单独迎战一面之敌。
独断独行	du'duan'du'xing	只凭自己意志行事，不考虑他人的意见。
独断专行	du'duan'zhuan'xing	同“独断独行”。
独夫民贼	du'fu'min'zei	谓祸国殃民、众叛亲离的统治者。
独鹤鸡群	du'he'ji'qun	犹鹤立鸡群。比喻一个人才能或仪表出众。
独茧抽丝	du'jian'chou'si	①喻诗文条理分明，脉络清晰。②喻单方思慕。
独具匠心	du'ju'jiang'xin	具有独到的灵巧心思或创造性。
独具只眼	du'ju'zhi'yan	“只眼”原指大自在天神（Mahe裿ara）的顶门眼，竖起双眉之上，功能卓异。见《大智度论》卷二。禅宗用其典，指别具能够“见性”之“眼”。语本《景德传灯录·普愿禅师》：“师拈起球子，问僧云：‘那个何似遮个？’对云：‘不似。’……师云：‘许你具一只眼。’”亦泛指具有别人没有的眼光和见解。
独来独往	du'lai'du'wang	独身来往，不与人为伍。亦比喻事事不与人同。
独立王国	du'li'wang'guo	原指主权完整的君主制国家。现用以比喻一个地区、单位或组织，不受上级或其他任何约束，自行其是者。
独立自主	du'li'zi'zhu	不依赖别人，也不受别人的支配或控制，按自己的主张和权利行事。
独木不成林	du'mu'bu'cheng'lin		比喻个人力量有限，做不成大事。
独木难支	du'mu'nan'zhi	谓一根木头支持不住高大的房屋。比喻个人力量不能维持全局。
独善其身	du'shan'qi'shen	本指注重自身修养，保持节操。后亦指怕招惹是非，只顾自己好，不关心身外事。
独善吾身	du'shan'wu'shen	同“独善其身”。
独善一身	du'shan'yi'shen	同“独善其身”。
独是独非	du'shi'du'fei	谓不采众议，凡事独断。
独树一帜	du'shu'yi'zhi	单独树立一面旗帜。比喻与众不同，自成一家。
独竖一帜	du'shu'yi'zhi	同“独树一帜”。
独往独来	du'wang'du'lai	①指特立独行的人，摆脱万物的挂碍，自由往来于天地间。②指人之思想、行为、活动自由，无所阻碍。③一人自去自来。④指文章能推陈出新，独树一帜。
独行独断	du'xing'du'duan	同“独断独行”。
独行踽踽	du'xing'ju'ju	孤零零地一个人走路。
独行其是	du'xing'qi'shi	只顾按自己的主张去做。
独一无二	du'yi'wu'er	没有相同的；没有可与相比的；唯一的。
独占鰲头	du'zhan'ao'tou	科举时代称中状元。据说皇宫石阶前刻有鰲（大鳖）的头，状元及第时站此迎榜。后来比喻占首位或居第一名。
独占鼇头	du'zhan'ao'tou	见“独占鰲头”。
笃定泰山	du'ding'tai'shan	像泰山那样稳定。比喻有绝对把握，无须忧虑。
笃而论之	du'er'lun'zhi	确切地评述。
笃论高言	du'lun'gao'yan	确切高明的言论。
笃实好学	du'shi'hao'xue	认真踏实，爱好学问。
笃新怠旧	du'xin'dai'jiu	又作：喜新厌旧。
笃信好学	du'xin'hao'xue	谓对道德和事业抱有坚定的信心，并勤奋学习。
笃学不倦	du'xue'bu'juan	专心学习，不知疲倦。
笃志好学	du'zhi'hao'xue	志趣专一，爱好学问。
赌彩一掷	du'cai'yi'zhi	又作：孤注一掷。
赌长较短	du'chang'jiao'duan	谓比优劣。
赌神发咒	du'shen'fa'zhou	又作：对天发誓。
赌誓发原	du'shi'fa'yuan	又作：赌咒发誓。
赌咒发誓	du'zhou'fa'shi	庄严地说出表示决心的话或对某事提出保证。
睹始知终	du'shi'zhi'zhong	谓看见事物的开始阶段就预见到它的最终结果。
睹微知著	du'wei'zhi'zhu	看到事物的细微迹兆，就可认识其实质和发展。
睹物思人	du'wu'si'ren	看到他人留下的东西或死者的遗物，就想起这个人。
睹著知微	du'zhu'zhi'wei	从明显的表象，推知到隐微的内情。
妒贤疾能	du'xian'ji'neng	见“妒贤嫉能”。
妒贤嫉能	du'xian'ji'neng	妒忌才德胜于己的人。
杜弊清源	du'bi'qing'yuan	杜绝弊端，廓清来源。
杜断房谋	du'duan'fang'mou	《新唐书·杜如晦传》：“每议事帝所，玄龄必曰：‘非如晦莫筹之。’及如晦至，卒用玄龄策也。盖如晦长於断，而玄龄善谋，两人深相知，故能同心济谋，以佐佑帝。”后因以谓多谋善断曰“杜断房谋”。
杜耳恶闻	du'er'e'wen	塞住耳朵不愿听。
杜渐除微	du'jian'chu'wei	同“杜渐防萌”。
杜渐防萌	du'jian'fang'meng	杜绝乱源的开端，防备祸患的萌芽。把隐患消除在开端与萌芽状态中。即防患于未然。
杜渐防微	du'jian'fang'wei	同“杜渐防萌”。
杜口裹足	du'kou'guo'zu	闭口不言，停足不前。形容十分害怕。
杜口结舌	du'kou'jie'she	又作：杜口吞声。
杜口绝言	du'kou'jue'yan	又作：杜口无言。
杜口吞声	du'kou'tun'sheng	闭口不敢作声。形容极度害怕。
杜口无言	du'kou'wu'yan	闭住嘴巴，不出一言。
杜门不出	du'men'bu'chu	关闭门户，不外出与人交往接触。
杜门绝迹	du'men'jue'ji	谓隐居不出。
杜门绝客	du'men'jue'ke	同“杜门谢客”。
杜门面壁	du'men'mian'bi	谓闭门修养。
杜门屏迹	du'men'ping'ji	见“杜门晦迹”。
杜门却扫	du'men'que'sao	关闭大门，不再打扫庭院路径。意谓屏居谢客，清静自适。
杜门谢客	du'men'xie'ke	谓闭门不与外界交往。
杜门自绝	du'men'zi'jue	关闭大门，将自己与外界隔绝。
杜门自守	du'men'zi'shou	谓居家守其本分。
杜隙防微	du'xi'fang'wei	同“杜渐防萌”。
度长絜大	du'chang'xie'da	谓比量长短大小。
度长絜短	du'chang'xie'duan	见“度长絜大”。
度德量力	du'de'liang'li	估量自己的德行和能力。语出《左传·隐公十一年》：“度德而处之，量力而行之。”
度日如年	du'ri'ru'nian	过一天象过一年那样长。形容困苦的日子长久难熬。
度日如岁	du'ri'ru'sui	同“度日如年”。
蠹国病民	du'guo'bing'min	同“蠹国害民”。
蠹国残民	du'guo'can'min	同“蠹国害民”。
蠹国害民	du'guo'hai'min	危害国家和人民。
蠹国耗民	du'guo'hao'min	同“蠹国害民”。
蠹国嚼民	du'guo'jiao'min	同“蠹国害民”。
蠹简遗编	du'jian'yi'bian	泛指残存的书籍。
蠹居棋处	du'ju'qi'chu	如虫深居，如棋密布。喻坏人隐蔽很深，散布很广。
蠹民梗政	du'min'geng'zheng	侵害人民，阻挠政令。
蠹政病民	du'zheng'bing'min	同“蠹国害民”。
蠹政害民	du'zheng'hai'min	同“蠹国害民”。
端本澄源	duan'ben'cheng'yuan	又作：正本清源。从根本上加以整顿清理。
端人正士	duan'ren'zheng'shi	端庄正直的人。
短兵相接	duan'bing'xiang'jie	①敌我逼近，用短兵器交战。②比喻面对面的激烈斗争。
短吃少穿	duan'chi'shao'chuan	谓衣食困乏。
短刀直入	duan'dao'zhi'ru	比喻开门见山，直截爽快。
短绠汲深	duan'geng'ji'shen	《庄子·至乐》：“褚小者不可以怀大，绠短者不可以汲深。”郭象注：“绠，汲索也。”后以“短绠汲深”比喻才力不称。
短褐不全	duan'he'bu'quan	见“短褐不完”。
短褐不完	duan'he'bu'wan	连粗布短衣也穿不周全。形容生活穷苦。
短见薄识	duan'jian'bao'shi	见识浅短。
短寿促命	duan'shou'cu'ming	短命早死；要命。
短叹长吁	duan'tan'chang'xu	不停地叹气。
短小精悍	duan'xiao'jing'han	①身材短小而精明强干。②形容文章、言论等简短有力。
短吁长叹	duan'xu'chang'tan	见“短叹长吁”。
短中取长	duan'zhong'qu'chang	谓于一般中选择比较好的。
断壁残垣	duan'bi'can'yuan	见“断壁颓垣”。
断壁颓垣	duan'bi'tui'yuan	倒塌了的墙壁。形容残破的景象。
断编残简	duan'bian'can'jian	残缺不全的古籍。简，古时用以书写的竹片。编，穿简的皮条。
断长补短	duan'chang'bu'duan	又作：截长补短。截取有馀以补不足。
断长续短	duan'chang'xu'duan	断长补短。
断脰决腹	duan'dou'jue'fu	砍头剖腹。形容死之壮烈。
断发文身	duan'fa'wen'shen	古代吴越一带风俗，截短头发，身刺花纹，以避水中蛟龙之害。
断发纹身	duan'fa'wen'shen	见“断发文身”。
断梗飞蓬	duan'geng'fei'peng	见“断梗飘蓬”。
断梗浮萍	duan'geng'fu'ping	比喻漂泊不定。
断梗飘蓬	duan'geng'piao'peng	比喻漂泊不定。
断梗飘萍	duan'geng'piao'ping	见“断梗浮萍”。
断怪除妖	duan'guai'chu'yao	谓铲除妖魔鬼怪。
断管残瀋	duan'guan'can'shen	残缺不全的字画。管，笔；瀋，墨汁。
断圭碎璧	duan'gui'sui'bi	亦作“断珪缺璧”。喻指片段而珍贵的文字。
断珪缺璧	duan'gui'que'bi	见“断圭碎璧”。
断鹤续凫	duan'he'xu'fu	截下鹤的长腿接到野鸭的短腿上。比喻强做违反规律的事。语本《庄子·骈拇》：“长者不为有馀，短者不为不足。是故凫胫虽短，续之则忧，鹤胫虽长，断之则悲。”
断齑画粥	duan'ji'hua'zhou	形容贫苦力学。典出《五朝名臣言行录·参政范文正公》“公生二岁而孤”原注引宋魏泰《东轩笔录》：“公（范仲淹）少与刘某上长白僧舍脩学，惟煮粟米二升，作粥一器，经宿遂凝，以刀画为四塊，早晚取二塊，断齑数十茎，……入少盐，暖而啗之。如此者三年。”
断齑塊粥	duan'ji'kuai'zhou	见“断齑画粥”。
断缣尺楮	duan'jian'chi'chu	又作：断缣寸纸。
断缣寸纸	duan'jian'cun'zhi	残缺不全的书画。
断缣零璧	duan'jian'ling'bi	比喻片段而珍贵的文字。
断简残编	duan'jian'can'bian	又作：断编残简。
断蛟刺虎	duan'jiao'ci'hu	相传晋周处曾射蛟杀虎，为民除害。事见南朝宋刘义庆《世说新语·自新》。后以“断蛟刺虎”谓武艺高强，行为侠义。
断金零粉	duan'jin'ling'fen	断折的花钿和零散的铅粉。借指因遭横逆而结局不圆满的风流韵事。
断井颓垣	duan'jing'tui'yuan	断了的井栏，倒塌的短墙。形容荒凉破败的景象。
断决如流	duan'jue'ru'liu	见“断决如流”。
断决如流	duan'jue'ru'liu	处理事务果断，多而快。
断决如流	duan'jue'ru'liu	处理事务果断，多而快。
断烂朝报	duan'lan'zhao'bao	①宋王安石对《春秋》经的贬称。王安石以《春秋》多残缺，而解经者每遇疑难之处，即指为阙文，故云。断烂，残缺不全。朝报，政府的公告。②谓事实记载凌乱芜杂。
断墨残楮	duan'mo'can'chu	指残缺不全的典籍。楮，纸。
断木掘地	duan'mu'jue'di	上古时代，断木为杵，掘地为臼。虽粗拙，亦适用。语出《易·系辞下》。
断头将军	duan'tou'jiang'jun	坚决抵抗、宁死不屈的将军。典出《三国志·蜀志·张飞传》：“至江州，破璋将巴郡太守严颜，生获颜。飞呵颜曰：‘大军至，何以不降而敢拒战？’颜答曰：‘卿等无状，侵夺我州，我州但有断头将军，无有降将军也。’”
断线风筝	duan'xian'feng'zheng	见“断线风筝”。
断线风筝	duan'xian'feng'zheng	比喻一去不返的人或事物。
断线鹞子	duan'xian'yao'zi	又作：断线风筝。鹞子，指纸鸢，鸟形风筝。
断香零玉	duan'xiang'ling'yu	比喻女子的尸骸。
断羽绝鳞	duan'yu'jue'lin	断绝书信。羽鳞，犹鱼雁。
断雨残云	duan'yu'can'yun	比喻男女恩爱中绝，欢情未能持续。
断垣残壁	duan'yuan'can'bi	倒塌了的墙壁。形容残破的景象。
断章截句	duan'zhang'jie'ju	截取诗文的一章一句。
断章取义	duan'zhang'qu'yi	亦作“断章取意”。谓引用别人的诗文或谈话，只截取其片断而不顾全文和原意。
断章取意	duan'zhang'qu'yi	见“断章取义”。
断章摘句	duan'zhang'zhai'ju	裁断章节，选用文句。
断纸馀墨	duan'zhi'yu'mo	零星或残存的墨迹。
断子绝孙	duan'zi'jue'sun	①无后代，断绝后代。②詈词。
堆积如山	dui'ji'ru'shan	积聚成堆，如同小山。形容极多。
堆金积玉	dui'jin'ji'yu	形容财富充裕。
堆山积海	dui'shan'ji'hai	形容东西极多。
对床风雨	dui'chuang'feng'yu	同“对床夜雨”。
对床夜雨	dui'chuang'ye'yu	风雨之夜，两人对床而眠。喻亲友相聚的欢悦。
对床夜语	dui'chuang'ye'yu	两人夜间对床共语。
对答如流	dui'da'ru'liu	答话敏捷顺暢，象流水一样。形容口才好。
对景挂画	dui'jing'gua'hua	比喻两相切合。
对客挥毫	dui'ke'hui'hao	喻文思敏捷。毫，毛笔。
对牛弹琴	dui'niu'dan'qin	亦作“对牛鼓簧”。喻对不懂事理的人讲道理或言事。常含有徒劳无功或讽刺对方愚蠢之意。语本汉牟融《理惑论》：“公明仪为牛弹清角之操，伏食如故，非牛不闻，不合其耳矣。”
对牛鼓簧	dui'niu'gu'huang	见“对牛弹琴”。
对头冤家	dui'tou'yuan'jia	仇人。
对证下药	dui'zheng'xia'yao	见“对症下药”。
对症发药	dui'zheng'fa'yao	同“对症下药”。
对症下药	dui'zheng'xia'yao	亦作“对证下药”。针对病症用药。比喻针对问题，确定解决的办法。
敦本务实	dun'ben'wu'shi	崇尚根本，注重实际。
敦默寡言	dun'mo'gua'yan	稳重而少言语。
敦世厉俗	dun'shi'li'su	谓促使世俗风尚纯朴起来。
囤积居奇	dun'ji'ju'qi	囤积大量货物，待机牟取暴利。
钝口拙腮	dun'kou'zhuo'sai	谓口才笨拙，说话不流利。
顿挫抑扬	dun'cuo'yi'yang	形容诗文作品或音乐声响等高低起伏、停顿转折，和谐而有节奏。
顿腹之言	dun'fu'zhi'yan	又作：肺腑之言。
顿纲振纪	dun'gang'zhen'ji	整顿朝纲，重振法纪。
顿脚捶胸	dun'jiao'chui'xiong	同“顿足搥胸”。
顿开茅塞	dun'kai'mao'sai	比喻闭塞的思路，由于受到启发，忽然开通，豁然领悟。
顿口无言	dun'kou'wu'yan	形容张口结舌，说不出话。
顿足捶胸	dun'zu'chui'xiong	同“顿足搥胸”。
顿足搥胸	dun'zu'chui'xiong	边跺脚边击打胸脯。形容情绪激烈的样子。
顿足搓手	dun'zu'cuo'shou	着急惋惜的样子。
顿足捩耳	dun'zu'lie'er	形容束手无策的困态。
顿足椎胸	dun'zu'zhui'xiong	同“顿足搥胸”。
遁迹藏名	dun'ji'cang'ming	又作：隐居不出。
遁迹方外	dun'ji'fang'wai	又作：避世隐居于僧道中。
遁迹黄冠	dun'ji'huang'guan	谓避开尘世而做道士。
遁迹空门	dun'ji'kong'men	见“遁入空门”。
遁迹空门	dun'ji'kong'men	见“遁入空门”。
遁迹匿影	dun'ji'ni'ying	谓隐藏踪迹和身形。
遁迹潜形	dun'ji'qian'xing	谓隐藏踪迹和身形。
遁迹桑门	dun'ji'sang'men	谓避开尘世而出家为僧。桑门，即沙门。
遁迹销声	dun'ji'xiao'sheng	谓隐居不出。
遁名改作	dun'ming'gai'zuo	窜改物名，改变作品。
遁名匿迹	dun'ming'ni'ji	隐姓埋名，不露行迹。
遁入空门	dun'ru'kong'men	谓避开尘世而入佛门。多指出家为僧尼。
遁身远迹	dun'shen'yuan'ji	又作：避世隐居。
遁世长往	dun'shi'chang'wang	避世隐居而长期不出。
遁世绝俗	dun'shi'jue'su	见“遁世离俗”。
遁世离群	dun'shi'li'qun	又作：避世独处。
遁世离俗	dun'shi'li'su	谓隐居而屏绝世俗往来。
遁世无闷	dun'shi'wu'men	谓逃避世俗而心无烦忧。
遁世遗荣	dun'shi'yi'rong	谓避世隐居而抛弃荣华富贵。
遁世隐居	dun'shi'yin'ju	避世而深居不仕。
遁世幽居	dun'shi'you'ju	见“遁世隐居”。
遁俗无闷	dun'su'wu'men	见“遁世无闷”。
遁天倍情	dun'tian'bei'qing	谓违背天然之性而加添流俗之情。一说，违背天性与真情。倍，通“背”。
遁天妄行	dun'tian'wang'xing	谓违背自然规律而胡作非为。
遁天之刑	dun'tian'zhi'xing	谓违背自然规律所受的刑罚。
遁形远世	dun'xing'yuan'shi	又作：避世隐居。
遁逸无闷	dun'yi'wu'men	见“遁世无闷”。
遁阴匿景	dun'yin'ni'jing	隐藏形迹。
多才多艺	duo'cai'duo'yi	亦作“多材多艺”。亦作“多艺多才”。亦作“多能多艺”。具有多方面的才能和技艺。
多材多艺	duo'cai'duo'yi	见“多才多艺”。
多财善贾	duo'cai'shan'jia	见“多钱善贾”。
多藏厚亡	duo'cang'hou'wang	谓聚敛越多，则丧失越大。语出《老子》：“是故甚爱必大费，多藏必厚亡。”王弼注：“甚爱不与物通，多藏不与物散，求之者多，攻之者众，为物所病，故大费厚亡也。”
多愁多病	duo'chou'duo'bing	亦作“多愁善病”。时常忧愁，体弱多病。旧时多用以形容才子佳人的娇弱状态。
多愁善病	duo'chou'shan'bing	见“多愁多病”。
多愁善感	duo'chou'shan'gan	常发愁，易伤感。常形容人感情脆弱。
多此一举	duo'ci'yi'ju	做不必要的、多余的事情。
多端寡要	duo'duan'gua'yao	头绪甚多而不知择要行事。
多多益办	duo'duo'yi'ban	见“多多益善”。
多多益善	duo'duo'yi'shan	亦作“多多益办”。越多越好。语本《史记·淮阴侯列传》：“上问曰：‘如我能将几何？’信曰：‘陛下不过能将十万。’上曰：‘於君何如？’曰：‘臣多多而益善耳。’上笑曰：‘多多益善，何为为我禽？’”
多方百计	duo'fang'bai'ji	想尽或用尽种种方法、计谋。
